ConstituentID,TermID
2917,2027998
7162,2028240
10079,2027999
14324,2027998
402730,2027999
405647,2027999
406975,2027999
409892,2027999
378588,2027998
387078,2027999
385750,2027999
389995,2027999
401402,2027999
360280,2027999
370098,2027998
374343,2027998
373015,2027999
377260,2027999
344628,2027999
351790,2027999
353118,2027998
356035,2027999
357363,2027998
361608,2027999
68181,2028240
319158,2027999
323403,2027998
327648,2028240
331893,2028240
1566,2027999
52506,2027999
388644,2027998
389972,2027999
405624,2027999
406952,2027999
331870,2028240
348850,2027999
356012,2027999
357340,2027999
371664,2027999
372992,2027999
306400,2027999
307728,2027999
322052,2027999
323380,2027999
324708,2028240
330542,2028240
280715,2027998
280930,2027999
282258,2027999
289420,2027999
297910,2027999
299238,2027999
266606,2027999
275096,2027999
362982,2028240
324777,2028240
329022,2028240
330350,2028240
341757,2027999
343085,2027999
358737,2027999
297887,2027999
299215,2027999
302132,2027999
310453,2027999
314867,2027998
319112,2027999
285152,2027998
286480,2027998
292145,2027999
293473,2027999
296390,2027999
297718,2027999
275165,2027999
276493,2027999
279410,2027999
280738,2027999
280907,2027999
282235,2027999
268172,2027999
269500,2027999
7139,2027999
18377,2027999
385727,2027999
401379,2027999
402707,2027998
363005,2028240
367419,2027999
368747,2027999
378780,2027999
384399,2027999
319135,2027998
320463,2027999
330373,2028240
331701,2028240
351767,2027999
361800,2027999
286503,2027999
296413,2027999
297741,2027998
303483,2027999
313393,2027998
314721,2027999
269523,2027999
270851,2027999
276470,2027999
285175,2027999
3086,2027999
4414,2027999
378757,2027999
387247,2027998
385919,2027999
401233,2027999
407144,2028240
344797,2027999
353287,2027999
354615,2027999
366022,2027999
367350,2027999
374512,2027999
313493,2027998
320655,2027999
321983,2027999
333390,2027999
334718,2027998
341880,2027999
275288,2027999
279533,2027998
300758,2027998
307920,2027999
309248,2027999
312165,2027999
266798,2027998
4314,2028240
5642,2027999
374535,2027998
377068,2028240
375740,2027999
401210,2027999
407167,2027999
408495,2027998
324585,2028240
335946,2027999
341780,2027999
343108,2027999
366045,2027999
368578,2027999
300658,2027999
301986,2027999
310814,2027998
312142,2027999
319304,2027999
320632,2027998
286672,2027999
288000,2027999
290625,2027998
291953,2027998
299115,2027999
300443,2027998
