ConstituentID,TermID
1662,2028051
1670,2028050
1670,2028051
1670,2028052
1671,2028052
1671,2028099
1676,2028099
1685,2028050
1685,2028052
1686,2028050
1686,2028052
1686,2028099
1695,2028099
1703,2028050
1703,2028051
1703,2028052
1703,2028099
1709,2028050
1709,2028051
1709,2028052
1709,2028331
1711,2028050
1711,2028052
1711,2028188
1719,2028052
1720,2028052
1727,2028051
1736,2028052
1736,2028099
1746,2028050
1746,2028052
1746,2028099
1760,2028050
1760,2028051
1776,2028050
1776,2028052
1776,2028099
2154,2028052
2163,2028051
2220,2028051
2221,2028051
2222,2028050
2222,2028051
2222,2028052
2230,2028050
2230,2028051
2231,2028051
2237,2028050
2237,2028051
2237,2028052
2239,2028099
2256,2028051
2263,2028050
2264,2028051
2271,2028051
2272,2028050
2272,2028051
2272,2028052
2287,2028050
2287,2028052
2289,2028050
2289,2028051
2289,2028052
2295,2028050
2295,2028051
2304,2028052
2304,2028099
2312,2028051
2313,2028052
2329,2028051
2331,2028050
2331,2028051
2331,2028052
2339,2028051
2386,2028051
2420,2028052
2420,2028099
2422,2028051
2456,2028050
2729,2028050
2729,2028051
2730,2028050
2730,2028051
2731,2028051
2732,2028051
2737,2028051
2738,2028051
2739,2028051
2740,2028051
2746,2028051
2747,2028050
2747,2028051
2748,2028051
2749,2028051
2754,2028051
2755,2028051
2756,2028051
2757,2028051
2762,2028050
2762,2028051
2762,2028052
2763,2028051
2764,2028051
2772,2028050
2772,2028051
2773,2028051
2774,2028051
2779,2028051
2780,2028051
2781,2028051
2782,2028051
2787,2028050
2787,2028051
2805,2028051
2823,2028051
2837,2028052
3006,2028052
3014,2028050
3023,2028051
3375,2028050
3392,2028159
3432,2028050
3440,2028052
3467,2028099
3484,2028050
3500,2028050
3525,2028051
3541,2028051
3564,2028051
3566,2028052
3608,2028052
3623,2028052
3966,2028051
3977,2028051
3977,2028052
4017,2028050
4017,2028051
4024,2028051
4024,2028052
4025,2028051
4025,2028052
4033,2028099
4035,2028052
4041,2028051
4052,2028052
4066,2028050
4067,2028099
4099,2028050
4099,2028052
4102,2028052
4126,2028050
4126,2028051
4126,2028052
4134,2028050
4134,2028051
4159,2028099
4169,2028050
4169,2028052
4191,2028050
4209,2028051
4225,2028051
4227,2028050
4227,2028051
4228,2028051
4233,2028051
4234,2028051
4235,2028051
4236,2028051
4241,2028051
4250,2028050
4250,2028051
4251,2028051
4252,2028050
4252,2028051
4253,2028051
4653,2028050
4654,2028050
4654,2028052
4718,2028051
4719,2028050
4719,2028051
4720,2028050
4720,2028051
4736,2028050
4736,2028051
4743,2028050
4751,2028052
4762,2028050
4762,2028052
4776,2028052
4778,2028052
4802,2028051
4802,2028052
4835,2028052
4838,2028050
4838,2028052
4845,2028051
4845,2028052
4851,2028052
4870,2028050
4871,2028052
4886,2028050
4969,2028052
4977,2028052
4996,2028052
5027,2028050
5027,2028052
5077,2028050
5077,2028188
5153,2028099
5163,2028052
5186,2028051
5186,2028052
5195,2028050
5195,2028052
5196,2028052
5197,2028050
5230,2028050
5230,2028052
5231,2028099
5245,2028050
5246,2028099
5246,2028099
5261,2028052
5277,2028052
5278,2028052
5279,2028052
5280,2028052
5281,2028052
5304,2028050
5314,2028050
5314,2028051
5373,2028050
5373,2028051
5373,2028052
6833,2028050
6833,2028052
6940,2028052
6941,2028052
6942,2028052
6943,2028052
7142,2028052
7143,2028050
7143,2028052
7158,2028052
7159,2028052
7160,2028052
7161,2028052
7166,2028052
7167,2028052
7168,2028052
7169,2028052
7174,2028052
7175,2028052
7176,2028052
7177,2028052
7178,2028052
7183,2028052
7517,2028052
7518,2028050
7518,2028052
7519,2028052
7520,2028052
7525,2028052
7526,2028052
7527,2028052
7528,2028050
7528,2028052
7534,2028052
7535,2028052
7536,2028052
7537,2028050
7537,2028052
7542,2028052
7543,2028050
7543,2028052
7544,2028050
7544,2028052
7545,2028052
7550,2028052
7551,2028052
7552,2028052
7553,2028052
7554,2028052
7559,2028052
7560,2028052
7561,2028052
7562,2028052
7567,2028052
7568,2028050
7568,2028052
7569,2028050
7569,2028052
7570,2028052
7575,2028051
7575,2028052
7576,2028050
7576,2028052
7577,2028052
7578,2028052
7579,2028052
7584,2028052
7585,2028050
7585,2028052
7586,2028052
7587,2028050
7587,2028052
7592,2028052
7593,2028052
7594,2028052
7595,2028052
7600,2028052
7601,2028050
7601,2028052
7602,2028052
7603,2028052
7604,2028050
7604,2028052
7610,2028050
7610,2028052
7612,2028050
7612,2028052
7617,2028052
7618,2028052
7619,2028051
7619,2028052
7620,2028052
7627,2028050
7627,2028052
7628,2028052
7629,2028052
7634,2028050
7634,2028052
7635,2028052
7636,2028050
7636,2028052
7642,2028052
7643,2028052
7644,2028051
7644,2028052
1188,2028050
1188,2028052
1655,2028051
1663,2028050
1663,2028051
1664,2028051
1666,2028051
1674,2028051
1681,2028050
1681,2028052
1698,2028051
1707,2028050
1707,2028051
1707,2028052
1708,2028050
1708,2028051
1708,2028052
1715,2028052
1717,2028052
1724,2028050
1748,2028050
1748,2028051
1748,2028052
1758,2028050
1758,2028052
1780,2028051
2167,2028051
2215,2028051
2216,2028050
2216,2028052
2223,2028051
2223,2028052
2223,2028331
2224,2028051
2225,2028051
2225,2028052
2226,2028051
2226,2028331
2226,2028331
2233,2028050
2233,2028051
2233,2028052
2248,2028050
2251,2028051
2275,2028050
2275,2028051
2275,2028052
2282,2028050
2282,2028051
2282,2028052
2282,2028099
2283,2028050
2283,2028052
2307,2028052
2307,2028099
2334,2028050
2334,2028051
2334,2028052
2335,2028050
2335,2028052
2342,2028050
2342,2028051
2343,2028051
2368,2028051
2384,2028050
2384,2028052
2385,2028051
2393,2028050
2393,2028051
2393,2028052
2394,2028051
2399,2028051
2408,2028050
2408,2028051
2408,2028052
2415,2028052
2419,2028050
2426,2028050
2426,2028052
2442,2028051
2449,2028050
2449,2028052
2459,2028050
2728,2028051
2733,2028050
2733,2028051
2735,2028051
2736,2028051
2741,2028051
2742,2028051
2743,2028051
2750,2028051
2751,2028051
2752,2028051
2753,2028051
2758,2028051
2760,2028050
2760,2028051
2761,2028051
2767,2028051
2770,2028051
2776,2028051
2777,2028050
2777,2028051
2778,2028051
2783,2028051
2784,2028051
2785,2028050
2785,2028051
2786,2028051
2800,2028051
2810,2028052
2811,2028052
2843,2028051
3012,2028050
3025,2028051
3026,2028051
3035,2028050
3035,2028051
3035,2028052
3037,2028050
3352,2028052
3360,2028050
3361,2028050
3361,2028052
3363,2028050
3363,2028052
3370,2028052
3405,2028052
3410,2028188
3454,2028051
3454,2028052
3479,2028050
3479,2028051
3479,2028052
3479,2028099
3512,2028052
3537,2028052
3544,2028052
3554,2028052
3595,2028051
3604,2028052
3635,2028051
3970,2028051
3972,2028050
3972,2028051
3972,2028052
3972,2028331
3972,2028332
3980,2028052
4020,2028051
4028,2028099
4054,2028052
4071,2028051
4071,2028052
4098,2028052
4098,2028159
4112,2028052
4180,2028050
4196,2028050
4196,2028051
4221,2028052
4222,2028051
4223,2028051
4223,2028052
