ConstituentID,Nationality
2141,American
2143,American
2144,American
2145,American
2146,American
2147,American
2148,British
2149,American
2150,American
2152,American
2153,American
2154,American
2156,American
2157,American
2160,American
2161,American
2162,American
2163,American
2164,British
2167,American
2169,American
2170,English
2171,American
2172,English
2173,American
2174,American
2175,Chilean
2176,American
2177,American
2178,German
2179,American
2180,Canadian
2181,American
2182,American
2184,American
2185,American
2186,American
2187,American
2188,American
2189,American
2190,American
2191,American
2192,American
2193,American
2194,American
2195,American
2196,American
2197,Canadian
2198,American
2199,American
2200,American
2201,American
2202,American
2203,American
2204,American
2205,American
2206,American
2207,American
2209,American
2210,American
2211,German
2212,French
2213,American
2214,American
2215,British
2216,American
2217,American
2218,American
2220,American
2221,American
2222,American
2223,American
2224,American
2225,American
2226,American
2228,American
2229,American
2230,American
2231,American
2232,English
2233,Dutch
2234,Scottish
2235,American
2236,Cuban
2237,English
2239,American
2241,American
2242,American
2244,American
2245,American
2248,French
2250,American
2251,American
2253,American
2254,English
2255,American
2256,American
2257,American
2259,English
2260,Irish
2261,Spanish
2262,Spanish
2263,Welsh
2264,Spanish
2265,American
2266,American
2267,American
2268,American
2269,American
2270,American
2271,English
2272,American
2273,English
2275,American
2278,American
2279,American
2280,American
2281,Lithuanian
2282,Italian
2283,Italian
2284,French
2285,French
2286,Italian
2287,Italian
2289,American
2290,American
2291,American
2292,American
2293,American
2294,American
2295,American
2297,American
2298,American
2299,Czechoslovakian
2300,American
2303,American
2304,American
2307,American
2308,French
2309,American
2312,American
2313,American
2316,French
2319,American
2320,American
2321,American
2324,German
2325,American
2327,American
2329,South African
2331,American
2332,American
2333,American
2334,American
2335,American
2336,American
2338,English
2339,French
2340,American
2341,American
2342,American
2343,American
2344,American
2345,Canadian
2346,American
2350,American
2362,French
2364,Canadian
2365,American
2366,American
3076,American
3077,American
3078,American
3079,Australian
3080,American
3081,American
3082,American
3083,American
3084,American
3085,English
3086,American
3087,American
3088,American
3089,American
3090,American
3091,Peruvian
3092,American
3093,American
3094,American
3095,American
3096,American
3097,American
3098,American
3099,American
3100,American
3101,American
3102,American
3103,American
3105,American
3106,American
3107,American
3108,American
3109,American
3110,American
3111,American
3112,American
3113,American
3114,American
3115,American
3116,American
3117,American
3118,American
3119,American
3120,American
3121,American
3123,American
3124,American
3125,American
3126,American
3128,American
3129,American
3130,American
3131,American
3132,American
3133,American
3134,American
3135,American
3136,Guatemalan
3137,American
3138,American
3139,American
3140,Mexican
3141,American
3142,Dutch
3143,American
3144,American
3145,German
3146,American
3147,American
3148,Mexican
3149,Swiss
3150,American
3151,French
3152,Venezuelan
3153,American
3154,American
3155,Dutch
3156,American
3157,American
3158,American
3159,American
3160,American
3161,American
2469,American
2470,American
2472,American
2474,American
2475,American
2476,English
2477,American
2478,American
2479,French
2480,American
2481,Mexican
2482,Peruvian
2483,Portuguese
2484,German
2485,Indian
2486,American
2487,American
2488,American
2489,Italian
2490,American
2491,American
2492,French
2493,American
2494,American
2495,American
2496,American
2497,American
2498,American
2499,American
2500,American
2501,American
2502,American
2503,American
2504,American
2505,American
2506,American
2507,American
2508,French
2509,American
2510,American
2511,American
2512,American
2513,American
2514,American
2516,Chinese
2518,American
2519,American
2520,French
2522,American
2523,American
2524,English
2525,American
2527,American
2528,German
2529,American
2530,French
2531,German
2532,German
2533,American
2534,German
2535,American
2536,American
2537,American
2538,American
2540,American
2541,American
2542,American
2543,American
2544,American
2545,American
2547,Austrian
2548,Chinese
2549,British
2550,Venezuelan
2551,French
2552,French
2553,American
2555,British
2556,German
2557,American
2558,American
2559,American
2560,American
2561,American
2562,American
2563,Canadian
2564,American
2565,English
2566,American
2567,American
2568,American
2569,American
2570,American
2571,American
2572,American
2573,American
2574,American
2576,American
2578,American
2579,American
2580,American
2581,American
2583,American
2584,German
2585,Australian
2586,Italian
2587,American
2589,American
2592,American
2593,American
2596,American
2597,American
2598,American
2599,American
2601,American
2603,American
2604,American
2605,Turkish
2606,Egyptian
2608,Italian
2609,Italian
2610,American
2611,French
2612,American
2613,Swiss
2614,American
2615,American
2616,American
2617,American
2618,French
2620,American
2621,American
2622,American
